"Story","Title","Result","Date","Stability","Duration (s)"
"Bookster story","Create account","SUCCESS","2020-11-16T14:31:45.658932+02:00[Europe/Bucharest]","0.0","2.46"
"Bookster story","Is button a visible","SUCCESS","2020-11-16T15:00:55.629183+02:00[Europe/Bucharest]","0.0","7.46"
"Bookster story","Go to home page","SUCCESS","2020-11-16T16:46:35.769202+02:00[Europe/Bucharest]","0.0","12.03"
"Bookster story","Search","SUCCESS","2020-11-16T17:57:35.861084+02:00[Europe/Bucharest]","0.0","15.51"
"Bookster story","Go to home page and login","SUCCESS","2020-11-16T18:52:05.096974+02:00[Europe/Bucharest]","0.0","12.29"
"Bookster story","Remove a book to wishlist","SUCCESS","2020-11-17T23:36:00.203297+02:00[Europe/Bucharest]","0.0","18.96"
"Bookster story","Non valid login","SUCCESS","2020-11-20T22:19:32.167063+02:00[Europe/Bucharest]","0.0","11.95"
"Bookster story","Add a book to library","SUCCESS","2020-11-20T22:19:44.475206+02:00[Europe/Bucharest]","0.0","12.53"
"Bookster story","Go to home page and login","SUCCESS","2020-11-20T22:19:57.112571+02:00[Europe/Bucharest]","0.0","5.89"
"Bookster story","Add a book to wishlist","SUCCESS","2020-11-20T22:20:03.132726+02:00[Europe/Bucharest]","0.0","11.33"
